relation,n_gt,n_random,cutoff_density_intersection,cutoff_youdenJ,youdenJ_TPR,youdenJ_FPR,youdenJ_J,cutoff_roc_knee,roc_knee_TPR,roc_knee_FPR
anatomicalentity_anatomicalentity,209796,209796,-0.2833825540898458,-0.267031084952043,0.6821388396346928,0.202787469732502,0.4793513699021907,-0.3204373019424515,0.7268775381799463,0.2499380350435661
anatomicalentity_biologicalprocess,321,321,-0.3253053251372764,-0.3146286561727787,0.7663551401869159,0.2772585669781931,0.4890965732087227,-0.3146286561727787,0.7663551401869159,0.2772585669781931
anatomicalentity_cellularcomponent,2837,2837,-0.4659651854969176,-0.3610299190660928,0.8868523087768769,0.2830454705675009,0.603806838209376,-0.3094545399100799,0.8417342262953824,0.2506168487839267
anatomicalentity_chemicalentity,9,9,-0.4091691869162023,-0.4061853673739648,1.0,0.1111111111111111,0.8888888888888888,-0.4061853673739648,1.0,0.1111111111111111
anatomicalentity_gene,1721930,1721930,-0.0674991893044971,-0.0908535036009805,0.9980457974482122,0.0116985011005093,0.9863472963477028,-0.045426930614397,0.9928504643045885,0.0076257455297253
biologicalprocess_biologicalprocess,113292,113292,-0.0984414888419157,-0.0422867482620858,0.4373300850898563,0.2473696289234897,0.1899604561663666,-0.1268573837653583,0.6190904918264308,0.4318663277195212
biologicalprocess_cellularcomponent,1489,1489,-0.1165638033415102,-0.3461928175792534,0.8569509738079247,0.5970449966420417,0.259905977165883,-0.0944200376635047,0.6198791134989926,0.399597044996642
biologicalprocess_chemicalentity,3723,3723,-0.1664587131737488,-0.03613698155982,0.3201719043781896,0.1275852806876175,0.1925866236905721,-0.1625346404015268,0.5836690840719849,0.4117647058823529
biologicalprocess_gene,155018,155018,-0.092854022417481,-0.085789182677173,0.9178611516082004,0.1275271258821556,0.7903340257260447,-0.085789182677173,0.9178611516082004,0.1275271258821556
biologicalprocess_molecularfunction,834,834,-0.1647917591413842,-0.2123315010681272,0.7254196642685852,0.4820143884892086,0.2434052757793765,-0.1651479946151051,0.670263788968825,0.4280575539568345
biologicalprocess_protein,28,28,-0.3517682757182046,-0.4342587681103441,1.0,0.3571428571428571,0.6428571428571428,-0.3800793034703138,0.9642857142857144,0.3214285714285714
cellularcomponent_cellularcomponent,11575,11575,-0.0101546437894244,-0.0349261329401597,0.7842764578833693,0.7453995680345572,0.0388768898488121,-0.0349261329401597,0.7842764578833693,0.7453995680345572
cellularcomponent_chemicalentity,5,5,-0.1926934641841799,-0.1936719522778712,1.0,0.0,1.0,-0.1936719522778712,1.0,0.0
cellularcomponent_gene,89080,89080,-0.0113834277442486,-0.0325983804673724,0.9753929052537046,0.3138863942523574,0.6615065110013472,-0.0325983804673724,0.9753929052537046,0.3138863942523574
